,from,to,freq
0,0306Aditya,ProjectGalaxyHQ,1
1,0306Aditya,SoulRebornGame,1
2,04Valia1987,Min0taur0_,1
3,0OfeRkLmEhG2Ol3,streethers,1
4,0x0_art_br,NFTzf,1
5,0xAxel,LostEdenNFT,1
6,0xCure97,EtherealartNFT,1
7,0xCure97,karaholiday17,1
8,0x_ky0jin,LostEdenNFT,1
9,0xdminte,diverse,1
10,0xjasques,OfficialApeXdex,1
11,100DaysOfWriter,jamesmurday,1
12,12kenziel,PowerPixelNFTs,1
13,12syaffa,3PM,1
14,12syaffa,HannaButler_,2
15,2397Gamer,DarkLandGame,1
16,2Dfuns,opensea,1
17,2sunwins,2112Run,1
18,2sunwins,EthUvu,1
19,2sunwins,Zeneca_33,1
20,3dmund_,KarafuruNft,1
21,3dmund_,NFTGUYY,1
22,3ffMattyNFT,SolanaGhoests,1
23,4101000xx2,ProjectGalaxyHQ,1
24,4101000xx2,SoulRebornGame,1
25,4Z0T_NFT,Kaizen_NFT,1
26,4enoyreveAPP,epoch_gallery,1
27,55555Vitalik555,Min0taur0_,1
28,6oG11,MarkVine_NFTer,1
29,6zsSGtaUr2SWT1V,streethers,1
30,777RNR,magic_of_shroom,2
31,7Zzzzzz1977,CrazySnails,2
32,7Zzzzzz1977,NotRazorX,1
33,7q9KXXHa1Vvm0cl,LostEdenNFT,1
34,7simsek7,LostEdenNFT,1
35,88Ntttt,thefablednft,1
36,8_bitmap,LooksRareNFT,1
37,8_bitmap,MartyNFTMcFly,1
38,A1blossom,A1clinton,1
39,ABRCOD,GameFiSquad,2
40,AHDOD99,Slash_NFT,2
41,AHGNFT,FormalNFTS,1
42,AHGNFT,RayedLav,1
43,AKSHAY69264751,EBMetaverse,2
44,AMIRThalib6,HalfEatenCrew,1
45,AMIRThalib6,MoonPromos,1
46,ARodrigoRuizFe1,naridarbandi,1
47,ASutidhanakul,diverse,1
48,AYammahi91,diverse,1
49,AZAL341,LocoMetaGlobal,1
50,Aahmad4417,eddiegangland,1
51,Aaron09bn,streethers,1
52,Aaronfyf1995,RickyHarun45MF,1
53,Aaronfyf1995,SoulZ_NFT,1
54,Aashiq20171004,ginoa_io,1
55,AbFahim13,duckienft,1
56,Abdulla51311279,Kaizen_NFT,1
57,Abdulla65022440,NFTzf,1
58,AbeedShariff21,AliensonEarthC,1
59,AbeedShariff21,NirosFinance,1
60,AbeedShariff21,RMDoxx,1
61,AbeedShariff21,niros_spiff,2
62,AbeyBabeNFT,MortalRhinos,1
63,Abhi_kumar0770,DarkLandGame,1
64,Adam5Aria,RiseOfCryptto,3
65,AdegboyegaBiodu,HTMLCOIN,1
66,Aditya91078,PhilePooker,1
67,Aditya91078,powerofnfts,11
68,AdityaPranayan,HalfEatenCrew,1
69,AdityaPranayan,MoonPromos,1
70,AdityaPranayan,crypto_mac1,1
71,Adnan2101,diverse,1
72,Adriano55355235,Cryptoking,1
73,Adriano55355235,RocknBlockDev,1
74,Adriano55355235,bkbnvds,1
75,AfiaAsif5,LostEdenNFT,1
76,AfikAfik11,BitrueOfficial,1
77,AfikAfik11,deficonnect,1
78,Afu335,eddiegangland,1
79,AgungRi38369223,PenguinmaniaNft,1
80,Ahmedha05352819,ControlFreakNFT,1
81,Ahmedha05352819,techychun,1
82,Ahosanh31444460,VS_DPGU,1
83,Aichurok9590,DarkLandGame,2
84,AidansNFT06,alexa_chung,1
85,Ak18495758Ak,bot_suite,1
86,Ak18495758Ak,misscryptolog,1
87,AkashSh93536933,HannyaBox,1
88,AkashSh93536933,QrnNFT,2
89,Akdrcryptoworld,ViniJr_NFT,2
90,Alanahanabi,alexa_chung,1
91,Alanahanabi,manipromotes,1
92,Alanahanabi,nft_ukiyo_e,1
93,AlbertTheFarmer,CoinMarketCap,1
94,AlbertTheFarmer,OfficialPearDAO,1
95,Alex1992_8585,MoodyOwlNFT,1
96,Alex1992_8585,nftgallery_art,1
97,AlexBarkov5,MCryptoeggs,1
98,AlexxxJulie,Drop_Your_NFT_,1
99,AlexxxJulie,nft_drop_here_,1
100,AlexxxJulie,opensea,2
101,AlfiahAzizatil,HalfEatenCrew,1
102,AlfiahAzizatil,MoonPromos,1
103,Alfredo99205175,Cyborg86nft,2
104,AlgoYeti,AlgogemsNFT,1
105,AlgoYeti,headline_crypto,1
106,Algorand,KinnDAO,1
107,AliRedaa0463,EtherealartNFT,1
108,AliRedaa0463,karaholiday17,1
109,Ali_hp110,ICOAnnouncement,1
110,AliceRoseAshe,AneurysmEth,1
111,AliceRoseAshe,opensea,1
112,Alicia13497242,diverse,1
113,AlinaMaslova13,N3twrkNFT,1
114,Alisth96,AvaxNFTs,1
115,AllHailTrey,LostEdenNFT,1
116,AllenCurious,RRNFTs,1
117,AllenCurious,albreeze60,1
118,AllenCurious,annielederman,1
119,AlmaonHanaf,kufimbank,1
120,AlmaonHanaf,zoinkNFT,2
121,AlphaRising1,OzannAtalay,1
122,AlphaRising1,objktcom,1
123,AlrossoEx,FinanceRabbit,1
124,Althea088029801,streethers,1
125,Alugara5758,NFTQueenETH,1
126,Alvin13652478,Lunaverse_io,1
127,Alvin13652478,nftpadofficial,2
128,Alwell_kachi,diverse,1
129,AmaraMiley,TheNftTimess,8
130,AmbroseVineeth,LostEdenNFT,1
131,Ambrotos00,Aether_Crypto,2
132,Ambrotos00,Alphawolf_1_,1
133,Ambrotos00,Sheldon_Sniper,1
134,Anamulcr,AkandoEashin,1
135,Anamulcr,AnjaniRatna11,1
136,Anamulcr,DarkLandGame,1
137,Anamulcr,Mahmudu77976329,1
138,AnayaMK64,SKStefanKang,1
139,Andini16an,DarkLandGame,1
140,Andriano178r,mars4_me,1
141,AnerisartNFT,ponselakiva,1
142,AngPiti,streethers,1
143,Angellaureano83,frogonfly,1
144,Angielina019,lunaticfoxes,1
145,Angielina019,nxrthi,1
146,Anima_is_real,BabyAzukiNFT,3
147,Anima_is_real,Goldtanky,1
148,Anima_is_real,WorldOfZosei,1
149,Anima_is_real,cometwtf,1
150,Anjalipathak200,DarkLandGame,1
151,Anthony95303537,Lunaverse_io,1
152,Anthony95303537,TrustPad,2
153,AnthonywTTX,ASURANFTart,1
154,AntiSocial_Sol,tattoosolana,1
155,ArafatBD0,duckienft,1
156,Aripudi35680743,LostEdenNFT,2
157,Aripudi35680743,Miftahf41404487,1
158,Aripudi35680743,diverse,1
159,Aripudi35680743,iksannca,1
160,Aripudi35680743,sherlymehra,2
161,Arman20251,NaishaHost,1
162,Arman20251,wearehod,1
163,Armanaboxz,AliansiSeniNFT,1
164,Armanaboxz,HEkosistem,1
165,Armanaboxz,Ichsanm_ID,1
166,Armanaboxz,clagri_,1
167,Armanaboxz,hicetnunc2000,1
168,Armanaboxz,idnft_,1
169,Armanaboxz,withFND,1
170,Artieboy867,EtherealartNFT,1
171,Artieboy867,bapesclan,1
172,Artieboy867,karaholiday17,1
173,Artur9937,HYPEALIENS,2
174,Aryzd1990,DRAGONVERSE_OA,1
175,Asdyk58,RetsuNFT,2
176,Asdyk58,TenziHere,1
177,Asdyk58,Wehustler,2
178,Asdyk58,XelfNFT,1
179,Asdyk58,oopensea,1
180,Asdyk58,ryancalhoun,1
181,Ash3909,LukeNFTs,2
182,AshikRe44873275,BigfootTownNFT,1
183,AshikRe44873275,PAyubova,1
184,AshikRe44873275,Sahanaj87402573,1
185,AshikRe44873275,afsanaahmed,1
186,Ashikah4545,BigfootTownNFT,1
187,AshleyC92137848,PowerPixelNFTs,1
188,Aslansnft,SpaceNerd_Off,2
189,AsontoKevin,Aether_Crypto,7
190,AsontoKevin,Bitboy_Crypto,2
191,AsontoKevin,ChadCaff,1
